rssi,Time
-60,2022-09-04 08:39:43.778
-63,2022-09-04 08:39:43.802
-60,2022-09-04 08:39:43.825
-60,2022-09-04 08:39:43.851
-60,2022-09-04 08:39:43.879
-62,2022-09-04 08:39:43.900
-62,2022-09-04 08:39:43.949
-60,2022-09-04 08:39:43.971
-63,2022-09-04 08:39:43.991
-62,2022-09-04 08:39:44.016
-62,2022-09-04 08:39:44.044
-60,2022-09-04 08:39:44.068
-62,2022-09-04 08:39:44.090
-60,2022-09-04 08:39:44.116
-62,2022-09-04 08:39:44.137
-60,2022-09-04 08:39:44.193
-63,2022-09-04 08:39:44.213
-60,2022-09-04 08:39:44.244
-60,2022-09-04 08:39:44.297
-61,2022-09-04 08:39:44.317
-63,2022-09-04 08:39:44.344
-61,2022-09-04 08:39:44.371
-63,2022-09-04 08:39:44.398
-60,2022-09-04 08:39:44.420
-60,2022-09-04 08:39:44.445
-61,2022-09-04 08:39:44.501
-60,2022-09-04 08:39:44.529
-63,2022-09-04 08:39:44.551
-63,2022-09-04 08:39:44.579
-60,2022-09-04 08:39:44.609
-61,2022-09-04 08:39:44.637
-63,2022-09-04 08:39:44.665
-62,2022-09-04 08:39:44.693
-60,2022-09-04 08:39:44.714
-63,2022-09-04 08:39:44.742
-60,2022-09-04 08:39:44.794
-63,2022-09-04 08:39:44.813
-61,2022-09-04 08:39:44.838
-60,2022-09-04 08:39:44.861
-61,2022-09-04 08:39:44.885
-61,2022-09-04 08:39:44.910
-63,2022-09-04 08:39:44.937
-60,2022-09-04 08:39:44.968
-61,2022-09-04 08:39:44.996
-63,2022-09-04 08:39:45.017
-63,2022-09-04 08:39:45.044
-61,2022-09-04 08:39:45.074
-58,2022-09-04 08:39:45.098
-63,2022-09-04 08:39:45.125
-63,2022-09-04 08:39:45.153
-64,2022-09-04 08:39:45.183
-61,2022-09-04 08:39:45.209
-61,2022-09-04 08:39:45.236
-63,2022-09-04 08:39:45.255
-65,2022-09-04 08:39:45.283
-64,2022-09-04 08:39:45.303
-57,2022-09-04 08:39:45.325
-66,2022-09-04 08:39:45.352
-61,2022-09-04 08:39:45.376
-61,2022-09-04 08:39:45.403
-65,2022-09-04 08:39:45.423
-61,2022-09-04 08:39:45.448
-61,2022-09-04 08:39:45.475
-58,2022-09-04 08:39:45.523
-64,2022-09-04 08:39:45.546
-58,2022-09-04 08:39:45.574
-61,2022-09-04 08:39:45.602
-61,2022-09-04 08:39:45.630
-58,2022-09-04 08:39:45.651
-65,2022-09-04 08:39:45.675
-61,2022-09-04 08:39:45.696
-63,2022-09-04 08:39:45.721
-58,2022-09-04 08:39:45.747
-61,2022-09-04 08:39:45.776
-62,2022-09-04 08:39:45.797
-61,2022-09-04 08:39:45.825
-65,2022-09-04 08:39:45.846
-58,2022-09-04 08:39:45.871
-58,2022-09-04 08:39:45.898
-64,2022-09-04 08:39:45.922
-58,2022-09-04 08:39:45.944
-64,2022-09-04 08:39:45.971
-61,2022-09-04 08:39:45.993
-63,2022-09-04 08:39:46.015
-58,2022-09-04 08:39:46.040
-61,2022-09-04 08:39:46.066
-64,2022-09-04 08:39:46.090
-58,2022-09-04 08:39:46.119
-57,2022-09-04 08:39:46.194
-61,2022-09-04 08:39:46.223
-64,2022-09-04 08:39:46.250
-57,2022-09-04 08:39:46.275
-63,2022-09-04 08:39:46.295
-61,2022-09-04 08:39:46.315
-63,2022-09-04 08:39:46.366
-63,2022-09-04 08:39:46.414
-57,2022-09-04 08:39:46.443
-61,2022-09-04 08:39:46.466
-63,2022-09-04 08:39:46.490
-57,2022-09-04 08:39:46.512
-61,2022-09-04 08:39:46.534
-57,2022-09-04 08:39:46.555
-57,2022-09-04 08:39:46.583
-61,2022-09-04 08:39:46.605
-57,2022-09-04 08:39:46.634
-61,2022-09-04 08:39:46.662
-61,2022-09-04 08:39:46.690
-58,2022-09-04 08:39:46.715
-61,2022-09-04 08:39:46.738
-63,2022-09-04 08:39:46.764
-61,2022-09-04 08:39:46.793
-63,2022-09-04 08:39:46.820
-61,2022-09-04 08:39:46.841
-61,2022-09-04 08:39:46.861
-57,2022-09-04 08:39:46.883
-58,2022-09-04 08:39:46.913
-57,2022-09-04 08:39:46.942
-57,2022-09-04 08:39:46.968
-57,2022-09-04 08:39:46.998
-63,2022-09-04 08:39:47.023
-57,2022-09-04 08:39:47.047
-63,2022-09-04 08:39:47.070
-58,2022-09-04 08:39:47.092
-58,2022-09-04 08:39:47.115
-63,2022-09-04 08:39:47.138
-61,2022-09-04 08:39:47.161
-65,2022-09-04 08:39:47.185
-61,2022-09-04 08:39:47.215
-63,2022-09-04 08:39:47.237
-57,2022-09-04 08:39:47.263
-63,2022-09-04 08:39:47.310
-61,2022-09-04 08:39:47.332
-63,2022-09-04 08:39:47.354
-57,2022-09-04 08:39:47.376
-61,2022-09-04 08:39:47.399
-63,2022-09-04 08:39:47.423
-61,2022-09-04 08:39:47.449
-61,2022-09-04 08:39:47.469
-57,2022-09-04 08:39:47.493
-57,2022-09-04 08:39:47.543
-57,2022-09-04 08:39:47.573
-61,2022-09-04 08:39:47.624
-61,2022-09-04 08:39:47.667
-63,2022-09-04 08:39:47.689
-57,2022-09-04 08:39:47.713
-61,2022-09-04 08:39:47.741
-57,2022-09-04 08:39:47.764
-61,2022-09-04 08:39:47.785
-62,2022-09-04 08:39:47.809
-63,2022-09-04 08:39:47.836
-61,2022-09-04 08:39:47.858
-58,2022-09-04 08:39:47.884
-63,2022-09-04 08:39:47.911
-63,2022-09-04 08:39:47.934
-58,2022-09-04 08:39:47.961
-61,2022-09-04 08:39:47.987
-61,2022-09-04 08:39:48.064
-63,2022-09-04 08:39:48.407
-64,2022-09-04 08:39:48.427
-61,2022-09-04 08:39:48.458
-61,2022-09-04 08:39:48.582
-57,2022-09-04 08:39:48.605
-61,2022-09-04 08:39:48.627
-63,2022-09-04 08:39:48.647
-62,2022-09-04 08:39:48.672
-61,2022-09-04 08:39:48.695
-61,2022-09-04 08:39:48.715
-63,2022-09-04 08:39:48.742
-57,2022-09-04 08:39:48.768
-61,2022-09-04 08:39:48.818
-61,2022-09-04 08:39:48.840
-57,2022-09-04 08:39:48.868
-61,2022-09-04 08:39:48.896
-61,2022-09-04 08:39:48.922
-63,2022-09-04 08:39:48.950
-57,2022-09-04 08:39:48.974
-57,2022-09-04 08:39:49.004
-63,2022-09-04 08:39:49.050
-61,2022-09-04 08:39:49.135
-61,2022-09-04 08:39:49.163
-63,2022-09-04 08:39:49.188
-61,2022-09-04 08:39:49.211
-61,2022-09-04 08:39:49.234
-61,2022-09-04 08:39:49.277
-61,2022-09-04 08:39:49.304
-61,2022-09-04 08:39:49.324
-63,2022-09-04 08:39:49.345
-61,2022-09-04 08:39:49.375
-61,2022-09-04 08:39:49.397
-58,2022-09-04 08:39:49.419
-58,2022-09-04 08:39:49.445
-63,2022-09-04 08:39:49.516
-61,2022-09-04 08:39:49.540
-61,2022-09-04 08:39:49.569
-58,2022-09-04 08:39:49.590
-58,2022-09-04 08:39:49.617
-61,2022-09-04 08:39:49.645
-63,2022-09-04 08:39:49.669
-61,2022-09-04 08:39:49.699
-58,2022-09-04 08:39:49.724
-61,2022-09-04 08:39:49.752
-58,2022-09-04 08:39:49.775
-61,2022-09-04 08:39:49.798
-61,2022-09-04 08:39:49.827
-61,2022-09-04 08:39:49.857
-63,2022-09-04 08:39:49.903
-58,2022-09-04 08:39:49.930
-61,2022-09-04 08:39:49.975
-61,2022-09-04 08:39:50.000
