rssi,Time
-89,2022-09-05 15:26:53.425
-90,2022-09-05 15:26:54.733
-86,2022-09-05 15:26:54.536
-91,2022-09-05 15:26:54.028
-85,2022-09-05 15:26:55.812
-92,2022-09-05 15:26:57.238
-87,2022-09-05 15:26:55.492
-86,2022-09-05 15:26:56.131
-92,2022-09-05 15:26:57.238
-89,2022-09-05 15:26:58.341
-94,2022-09-05 15:27:01.068
-92,2022-09-05 15:26:57.238
-96,2022-09-05 15:27:01.878
-89,2022-09-05 15:26:58.341
-94,2022-09-05 15:27:01.068
-94,2022-09-05 15:26:58.555
-96,2022-09-05 15:27:01.878
-89,2022-09-05 15:26:58.341
-94,2022-09-05 15:27:01.068
-96,2022-09-05 15:27:01.716
-96,2022-09-05 15:27:01.878
-95,2022-09-05 15:26:59.124
-94,2022-09-05 15:27:01.068
-96,2022-09-05 15:27:01.716
-96,2022-09-05 15:27:01.878
-89,2022-09-05 15:27:01.848
-94,2022-09-05 15:27:01.068
-96,2022-09-05 15:27:01.716
-96,2022-09-05 15:27:01.878
-89,2022-09-05 15:27:01.848
-89,2022-09-05 15:27:02.139
-87,2022-09-05 15:27:02.329
-98,2022-09-05 15:27:02.329
-92,2022-09-05 15:27:02.801
-86,2022-09-05 15:27:04.408
-95,2022-09-05 15:27:07.254
-90,2022-09-05 15:27:03.828
-89,2022-09-05 15:27:03.009
-86,2022-09-05 15:27:04.408
-95,2022-09-05 15:27:07.254
-88,2022-09-05 15:27:04.011
-96,2022-09-05 15:27:04.021
-88,2022-09-05 15:27:05.091
-95,2022-09-05 15:27:07.254
-93,2022-09-05 15:27:05.112
-89,2022-09-05 15:27:05.109
-93,2022-09-05 15:27:06.201
-95,2022-09-05 15:27:07.254
-91,2022-09-05 15:27:06.770
-91,2022-09-05 15:27:06.066
-82,2022-09-05 15:27:08.557
-95,2022-09-05 15:27:07.254
-89,2022-09-05 15:27:07.023
-84,2022-09-05 15:27:07.492
-82,2022-09-05 15:27:08.557
-89,2022-09-05 15:27:09.847
-78,2022-09-05 15:27:08.534
-82,2022-09-05 15:27:08.066
-82,2022-09-05 15:27:09.133
-89,2022-09-05 15:27:09.847
-86,2022-09-05 15:27:09.139
-89,2022-09-05 15:27:09.351
-86,2022-09-05 15:27:10.028
-82,2022-09-05 15:27:10.216
-86,2022-09-05 15:27:10.087
-88,2022-09-05 15:27:10.027
-82,2022-09-05 15:27:11.532
-91,2022-09-05 15:27:11.506
-92,2022-09-05 15:27:11.152
-83,2022-09-05 15:27:12.096
-91,2022-09-05 15:27:12.422
-87,2022-09-05 15:27:12.097
-85,2022-09-05 15:27:13.173
-91,2022-09-05 15:27:17.692
-87,2022-09-05 15:27:13.173
-91,2022-09-05 15:27:13.661
-78,2022-09-05 15:27:14.538
-91,2022-09-05 15:27:17.692
-91,2022-09-05 15:27:14.452
-81,2022-09-05 15:27:14.731
-87,2022-09-05 15:27:15.333
-91,2022-09-05 15:27:17.692
-93,2022-09-05 15:27:15.025
-93,2022-09-05 15:27:15.392
-88,2022-09-05 15:27:17.505
-91,2022-09-05 15:27:17.692
-93,2022-09-05 15:27:17.214
-87,2022-09-05 15:27:16.457
-88,2022-09-05 15:27:17.505
-91,2022-09-05 15:27:17.692
-93,2022-09-05 15:27:17.214
-94,2022-09-05 15:27:17.239
-79,2022-09-05 15:27:19.931
-93,2022-09-05 15:27:18.093
-89,2022-09-05 15:27:20.469
-94,2022-09-05 15:27:18.864
-79,2022-09-05 15:27:19.931
-92,2022-09-05 15:27:21.108
-89,2022-09-05 15:27:20.469
-93,2022-09-05 15:27:19.195
-85,2022-09-05 15:27:20.055
-92,2022-09-05 15:27:21.108
-89,2022-09-05 15:27:20.469
-93,2022-09-05 15:27:20.268
-88,2022-09-05 15:27:21.365
-92,2022-09-05 15:27:21.108
-96,2022-09-05 15:27:22.623
-93,2022-09-05 15:27:21.605
-80,2022-09-05 15:27:22.016
-94,2022-09-05 15:27:25.978
-96,2022-09-05 15:27:22.623
-93,2022-09-05 15:27:24.120
-87,2022-09-05 15:27:23.241
-94,2022-09-05 15:27:25.978
-93,2022-09-05 15:27:23.106
-93,2022-09-05 15:27:24.120
-93,2022-09-05 15:27:25.376
-94,2022-09-05 15:27:25.978
-94,2022-09-05 15:27:26.456
-93,2022-09-05 15:27:24.120
-93,2022-09-05 15:27:25.376
-94,2022-09-05 15:27:25.978
-94,2022-09-05 15:27:26.456
-93,2022-09-05 15:27:25.789
-89,2022-09-05 15:27:28.335
-96,2022-09-05 15:27:26.513
-94,2022-09-05 15:27:26.456
-94,2022-09-05 15:27:27.055
-89,2022-09-05 15:27:28.335
-93,2022-09-05 15:27:27.055
-84,2022-09-05 15:27:29.104
-94,2022-09-05 15:27:27.055
-89,2022-09-05 15:27:28.335
-79,2022-09-05 15:27:28.015
-84,2022-09-05 15:27:29.104
-93,2022-09-05 15:27:28.624
-95,2022-09-05 15:27:31.456
-86,2022-09-05 15:27:29.258
-84,2022-09-05 15:27:29.104
-93,2022-09-05 15:27:29.098
-95,2022-09-05 15:27:31.456
-85,2022-09-05 15:27:30.321
-86,2022-09-05 15:27:30.013
-90,2022-09-05 15:27:30.174
-95,2022-09-05 15:27:31.456
-79,2022-09-05 15:27:31.150
-90,2022-09-05 15:27:33.455
-94,2022-09-05 15:27:33.076
-93,2022-09-05 15:27:36.752
-88,2022-09-05 15:27:32.621
-90,2022-09-05 15:27:33.455
-94,2022-09-05 15:27:33.076
-93,2022-09-05 15:27:36.752
-79,2022-09-05 15:27:33.076
-90,2022-09-05 15:27:33.455
-86,2022-09-05 15:27:35.136
-93,2022-09-05 15:27:36.752
-89,2022-09-05 15:27:34.174
-87,2022-09-05 15:27:34.140
-86,2022-09-05 15:27:35.136
-93,2022-09-05 15:27:36.752
-93,2022-09-05 15:27:35.178
-88,2022-09-05 15:27:36.425
-85,2022-09-05 15:27:36.051
-93,2022-09-05 15:27:36.752
-74,2022-09-05 15:27:36.237
-88,2022-09-05 15:27:36.425
-88,2022-09-05 15:27:37.298
-96,2022-09-05 15:27:40.055
-85,2022-09-05 15:27:37.303
-86,2022-09-05 15:27:37.096
-80,2022-09-05 15:27:38.189
-96,2022-09-05 15:27:40.055
-81,2022-09-05 15:27:38.019
-86,2022-09-05 15:27:38.376
-88,2022-09-05 15:27:39.255
-96,2022-09-05 15:27:40.055
-88,2022-09-05 15:27:39.134
-93,2022-09-05 15:27:39.134
-85,2022-09-05 15:27:42.214
-96,2022-09-05 15:27:40.055
-79,2022-09-05 15:27:40.404
-86,2022-09-05 15:27:41.825
-85,2022-09-05 15:27:42.214
-95,2022-09-05 15:27:45.176
-85,2022-09-05 15:27:41.136
-86,2022-09-05 15:27:41.825
-85,2022-09-05 15:27:42.214
-95,2022-09-05 15:27:45.176
-86,2022-09-05 15:27:42.041
-91,2022-09-05 15:27:42.884
-92,2022-09-05 15:27:45.176
-95,2022-09-05 15:27:45.176
-94,2022-09-05 15:27:43.330
-85,2022-09-05 15:27:43.100
-92,2022-09-05 15:27:45.176
-95,2022-09-05 15:27:45.176
-95,2022-09-05 15:27:44.105
-96,2022-09-05 15:27:44.176
-92,2022-09-05 15:27:45.176
-95,2022-09-05 15:27:45.176
-93,2022-09-05 15:27:48.262
-89,2022-09-05 15:27:46.070
-92,2022-09-05 15:27:47.149
-82,2022-09-05 15:27:46.070
-93,2022-09-05 15:27:48.262
-89,2022-09-05 15:27:46.070
-92,2022-09-05 15:27:47.149
-83,2022-09-05 15:27:47.739
-93,2022-09-05 15:27:48.262
-91,2022-09-05 15:27:48.876
-89,2022-09-05 15:27:48.020
-93,2022-09-05 15:27:48.262
-91,2022-09-05 15:27:48.876
-90,2022-09-05 15:27:51.622
-93,2022-09-05 15:27:49.033
-91,2022-09-05 15:27:49.259
-90,2022-09-05 15:27:51.622
-89,2022-09-05 15:27:50.785
-89,2022-09-05 15:27:50.314
-91,2022-09-05 15:27:55.951
-90,2022-09-05 15:27:51.622
-93,2022-09-05 15:27:51.012
-93,2022-09-05 15:27:51.012
-91,2022-09-05 15:27:55.951
-93,2022-09-05 15:27:54.495
