name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C0:21:EF:1A,INSIDE,1551367576935,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367572807,-84,-84
FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
FF:FF:C0:21:EF:BA,INSIDE,1551367573043,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367576935,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367573028,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
FF:FF:C0:21:EF:BA,INSIDE,1551367575027,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367576935,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367574087,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
FF:FF:C0:21:EF:BA,INSIDE,1551367575027,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367576935,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367575033,-89,-89
FF:FF:C0:21:F1:31,INSIDE,1551367576062,-74,-74
FF:FF:C0:21:EF:BA,INSIDE,1551367576700,-87,-87
FF:FF:C0:21:EF:1A,INSIDE,1551367576935,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367576269,-77,-77
FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
FF:FF:C0:21:EF:BA,INSIDE,1551367577331,-91,-91
FF:FF:C0:21:EF:1A,INSIDE,1551367577209,-91,-91
FF:FF:C0:21:EF:BF,INSIDE,1551367577065,-80,-80
FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
FF:FF:C0:21:EF:BA,INSIDE,1551367578324,-90,-90
FF:FF:C0:21:EF:1A,INSIDE,1551367579009,-95,-95
FF:FF:C0:21:EF:BF,INSIDE,1551367578325,-86,-86
FF:FF:C0:21:F1:31,INSIDE,1551367579607,-76,-76
FF:FF:C0:21:EF:BA,INSIDE,1551367580516,-84,-84
FF:FF:C0:21:EF:1A,INSIDE,1551367579009,-95,-95
FF:FF:C0:21:EF:BF,INSIDE,1551367579035,-87,-87
FF:FF:C0:21:F1:31,INSIDE,1551367580288,-75,-75
FF:FF:C0:21:EF:BA,INSIDE,1551367580516,-84,-84
FF:FF:C0:21:EF:1A,INSIDE,1551367580513,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
FF:FF:C0:21:F1:31,INSIDE,1551367581211,-88,-88
FF:FF:C0:21:EF:BA,INSIDE,1551367581967,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367581223,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
FF:FF:C0:21:F1:31,INSIDE,1551367582671,-90,-90
FF:FF:C0:21:EF:BA,INSIDE,1551367582184,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367582018,-87,-87
FF:FF:C0:21:EF:BF,INSIDE,1551367582879,-94,-94
FF:FF:C0:21:F1:31,INSIDE,1551367583475,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367583051,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367583088,-86,-86
