,time,rssi,azimuth,elevation,anchor,tag
222,2022-09-18 05:51:15.000,-75.0,25.25,-0.75,anchor-a@ch38,tag-a@-35
223,2022-09-18 05:51:15.500,-75.33333333333333,25.0,0.0,anchor-a@ch38,tag-a@-35
224,2022-09-18 05:51:16.000,-75.42857142857143,25.857142857142858,-1.0,anchor-a@ch38,tag-a@-35
225,2022-09-18 05:51:16.500,-75.0,26.666666666666668,-2.0,anchor-a@ch38,tag-a@-35
226,2022-09-18 05:51:17.000,-74.875,26.5,-2.0,anchor-a@ch38,tag-a@-35
227,2022-09-18 05:51:17.500,-74.66666666666667,26.0,-1.0,anchor-a@ch38,tag-a@-35
228,2022-09-18 05:51:18.000,-73.66666666666667,26.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
229,2022-09-18 05:51:18.500,-74.33333333333333,27.0,-1.0,anchor-a@ch38,tag-a@-35
230,2022-09-18 05:51:19.000,-74.66666666666667,26.666666666666668,-1.0,anchor-a@ch38,tag-a@-35
231,2022-09-18 05:51:19.500,-75.2,26.2,-1.0,anchor-a@ch38,tag-a@-35
232,2022-09-18 05:51:20.000,-75.16666666666667,26.0,-1.0,anchor-a@ch38,tag-a@-35
233,2022-09-18 05:51:20.500,-76.66666666666667,25.0,-1.6666666666666667,anchor-a@ch38,tag-a@-35
234,2022-09-18 05:51:21.000,-75.66666666666667,25.0,-1.0,anchor-a@ch38,tag-a@-35
235,2022-09-18 05:51:21.500,-76.0,26.75,-1.25,anchor-a@ch38,tag-a@-35
236,2022-09-18 05:51:22.000,-75.28571428571429,27.428571428571427,-1.4285714285714286,anchor-a@ch38,tag-a@-35
237,2022-09-18 05:51:22.500,-75.0,26.333333333333332,-1.0,anchor-a@ch38,tag-a@-35
238,2022-09-18 05:51:23.000,-75.0,26.0,-1.0,anchor-a@ch38,tag-a@-35
239,2022-09-18 05:51:23.500,-75.66666666666667,25.333333333333332,-1.0,anchor-a@ch38,tag-a@-35
240,2022-09-18 05:50:24.000,-82.33333333333333,25.0,-1.0,anchor-a@ch39,tag-a@-35
241,2022-09-18 05:50:24.500,-82.33333333333333,25.5,-1.0,anchor-a@ch39,tag-a@-35
242,2022-09-18 05:50:25.000,-81.5,24.5,-0.5,anchor-a@ch39,tag-a@-35
243,2022-09-18 05:50:25.500,-81.2,24.6,-1.2,anchor-a@ch39,tag-a@-35
